Wind Direction,Wind str/spd,Temperature,Light,Humidity,Speed,Strength,Lightning,Wind,Water,Fire,Sum,Position
"0,18","1,96","7,79","2,63","0,40","1,53","0,10","1,27","8,04","4,52","5,81","21,27","1,00"
"8,70","8,77","0,13","0,51","0,10","0,58","5,63","0,38","6,87","7,20","3,37","24,03","1,00"
"0,53","1,60","0,69","0,08","8,18","4,52","4,61","5,74","5,43","2,18","7,67","30,15","1,00"
"7,53","8,89","0,48","1,21","2,60","0,70","6,48","1,73","1,79","5,22","1,57","17,49","1,00"
"0,27","1,02","8,09","2,66","0,24","3,70","1,28","5,16","3,86","7,15","5,45","26,60","1,00"
"2,35","1,52","1,60","8,72","1,08","4,40","5,48","0,03","8,71","0,74","5,71","25,07","1,00"
"8,29","8,32","1,68","1,13","2,18","7,47","8,69","3,32","7,27","4,82","1,61","33,18","1,00"
"2,64","2,99","2,36","1,23","7,75","0,90","1,51","4,74","4,38","0,95","3,28","15,76","1,00"
"2,33","2,35","7,85","0,93","1,19","5,05","3,76","2,48","5,56","2,02","5,72","24,59","1,00"
"0,51","1,81","0,11","1,85","8,54","8,66","1,69","1,32","3,36","4,17","7,52","26,72","1,00"
"0,65","1,15","1,57","0,99","7,95","6,28","7,18","2,97","7,65","2,47","3,93","30,48","1,00"
"1,78","2,10","0,66","0,72","8,49","1,05","4,89","3,65","5,45","0,63","6,38","22,05","1,00"
"0,07","1,94","1,82","1,31","8,55","4,25","2,70","0,11","7,69","1,89","6,89","23,53","1,00"
"1,60","0,33","8,65","1,08","1,75","1,24","1,70","0,39","8,27","0,66","1,44","13,70","1,00"
"1,24","0,16","0,56","1,30","7,77","0,39","6,03","3,64","7,03","0,85","8,02","25,96","1,00"
"1,44","1,57","1,98","0,86","8,73","7,18","6,51","3,12","0,44","0,26","5,32","22,83","1,00"
"0,34","1,31","8,77","0,61","0,50","6,63","3,12","2,61","0,54","0,08","5,35","18,33","1,00"
"2,44","0,23","2,34","9,00","0,64","6,99","5,74","3,64","7,81","2,35","2,75","29,28","1,00"
"7,90","8,86","0,52","2,47","0,20","7,45","3,20","0,73","8,76","4,78","8,83","33,75","1,00"
"0,39","0,02","1,84","1,80","7,53","8,03","1,94","7,04","4,45","5,52","5,72","32,70","1,00"
"2,42","0,61","2,04","1,43","8,98","1,50","6,57","5,17","4,87","2,79","4,85","25,75","1,00"
"7,79","7,79","1,92","2,34","0,62","6,47","6,50","1,11","6,03","6,35","4,39","30,85","1,00"
"0,32","1,09","7,99","1,24","2,03","6,77","8,25","0,91","4,12","0,26","7,88","28,19","1,00"
"8,59","8,66","2,31","1,68","1,60","5,46","7,15","0,14","6,71","0,50","7,00","26,96","1,00"
"0,15","1,13","0,78","8,32","2,06","0,94","6,98","8,83","3,50","3,07","2,70","26,02","1,00"
"1,09","1,60","2,76","8,42","0,63","7,71","1,91","6,69","1,22","4,94","8,32","30,79","1,00"
"2,13","1,84","0,98","8,68","1,73","2,66","8,10","4,01","3,62","5,70","6,44","30,53","1,00"
"8,69","7,70","1,57","2,00","2,65","6,20","7,56","5,56","4,53","5,11","1,05","30,01","1,00"
"8,75","7,64","0,94","0,73","1,15","4,05","0,13","3,17","1,43","2,13","6,46","17,37","1,00"
"7,87","8,10","1,27","1,37","2,91","6,86","6,88","0,22","1,62","3,76","3,02","22,36","1,00"
"1,89","1,65","0,11","1,92","8,30","1,34","3,38","6,13","4,81","3,65","7,15","26,46","1,00"
"8,24","8,96","1,92","1,44","2,74","8,11","2,58","1,14","5,08","0,81","3,09","20,81","1,00"
"0,39","0,17","0,22","7,94","1,02","0,00","1,97","7,91","4,24","8,93","0,86","23,91","1,00"
"2,25","0,09","2,36","1,85","8,24","7,31","8,23","1,83","5,80","3,71","7,29","34,17","1,00"
"0,83","0,72","0,84","7,51","0,29","2,77","1,36","8,27","3,31","4,40","4,68","24,79","1,00"
"2,47","0,94","1,73","0,72","8,22","4,21","2,87","4,61","5,82","2,39","8,99","28,89","1,00"
"1,80","0,07","0,16","1,26","8,03","4,75","6,98","8,57","6,73","0,95","5,61","33,59","1,00"
"0,64","1,78","8,04","1,37","1,65","7,63","0,94","6,94","6,31","5,93","0,26","28,01","1,00"
"1,88","2,25","8,42","2,32","1,15","2,92","6,66","0,94","8,60","2,16","1,56","22,84","1,00"
"8,00","8,53","1,19","0,29","2,06","0,29","8,99","1,43","1,51","7,16","3,81","23,19","1,00"
"1,47","2,00","2,18","8,61","1,34","6,65","2,55","6,23","2,16","3,77","6,97","28,33","1,00"
"7,67","7,89","0,30","0,27","0,55","4,43","1,86","5,76","5,33","7,47","0,74","25,59","1,00"
"0,57","0,17","1,89","8,68","1,18","7,75","0,62","1,50","0,59","5,07","6,52","22,05","1,00"
"1,82","1,42","7,54","1,56","0,45","2,18","0,15","8,79","8,87","7,15","2,34","29,48","1,00"
"8,10","8,69","0,58","0,60","2,58","7,04","5,33","2,43","8,53","2,27","0,96","26,56","1,00"
"1,65","0,66","8,63","1,72","2,16","0,95","7,05","4,28","0,59","7,66","4,57","25,10","1,00"
"2,46","0,01","8,08","1,96","2,38","1,65","3,47","5,25","0,57","4,90","8,51","24,35","1,00"
"0,01","0,76","1,38","1,64","8,78","7,55","3,84","6,98","3,53","2,04","8,23","32,17","1,00"
"1,66","2,14","2,22","8,55","1,22","5,27","3,03","4,93","2,49","6,48","1,45","23,65","1,00"
"2,11","1,78","8,76","1,27","1,00","7,74","1,13","3,59","2,36","7,11","7,98","29,91","1,00"
"0,66","0,69","0,67","8,25","1,92","6,43","7,70","7,48","1,07","8,03","3,32","34,03","1,00"
"1,55","1,84","1,53","0,04","7,97","0,36","1,96","8,94","7,98","2,48","7,29","29,01","1,00"
"1,72","1,48","2,73","8,12","1,81","1,70","8,59","6,60","6,93","7,19","1,21","32,22","1,00"
"0,66","2,19","1,29","8,36","0,30","4,03","7,95","5,84","2,14","5,91","8,93","34,80","1,00"
"0,09","2,67","1,03","1,43","8,79","7,50","5,74","8,53","6,44","0,56","5,56","34,33","1,00"
"8,72","7,79","0,19","0,37","0,36","2,50","3,73","3,74","3,37","7,89","8,81","30,04","1,00"
"0,50","2,38","8,03","0,49","0,94","6,78","3,97","8,38","5,96","7,89","0,11","33,09","1,00"
"0,18","1,82","7,75","0,56","2,28","5,11","2,89","6,37","1,93","6,32","4,91","27,53","1,00"
"0,44","2,32","7,70","1,31","1,44","5,22","1,26","2,93","4,22","6,69","7,50","27,82","1,00"
"1,23","2,34","1,94","0,35","8,55","8,53","3,94","0,04","4,47","5,21","7,43","29,62","1,00"
"2,35","1,95","2,18","2,06","8,20","5,13","1,07","1,58","6,98","4,85","2,02","21,63","1,00"
"1,52","1,52","2,98","8,42","0,36","2,22","6,49","4,83","7,87","1,79","2,86","26,06","1,00"
"8,70","8,03","1,38","0,81","0,31","8,87","4,82","0,62","5,57","0,83","7,22","27,93","1,00"
"0,62","1,53","8,56","1,10","0,34","3,51","2,02","5,03","2,26","3,35","2,06","18,23","1,00"
"1,87","1,74","8,77","1,93","2,46","5,39","6,75","0,20","3,46","8,74","5,98","30,52","1,00"
"8,10","7,75","2,11","0,44","2,22","4,00","5,39","2,97","1,25","5,54","2,92","22,07","1,00"
"1,23","0,70","8,97","0,79","2,17","2,29","1,01","6,93","7,51","6,66","1,27","25,67","1,00"
"8,45","8,56","2,40","0,65","0,33","3,87","6,49","3,35","3,55","0,49","4,64","22,39","1,00"
"2,28","1,49","1,57","9,00","1,25","3,10","3,32","8,00","2,85","2,84","8,79","28,90","1,00"
"1,64","1,79","0,54","1,93","7,87","2,72","2,56","1,05","6,89","0,77","8,56","22,55","1,00"
"0,50","0,97","7,76","2,24","2,40","5,58","5,15","2,99","5,60","4,51","6,96","30,79","1,00"
"1,56","0,94","1,69","0,58","7,53","2,13","2,29","4,21","3,48","2,03","6,98","21,12","1,00"
"7,93","8,01","1,15","0,51","0,93","1,91","7,12","0,01","6,92","6,89","5,38","28,23","1,00"
"0,82","1,00","0,71","0,17","8,18","5,39","3,22","8,08","7,31","2,03","5,51","31,54","1,00"
"1,62","0,42","0,94","0,17","7,66","8,26","3,05","0,44","2,83","5,31","7,43","27,32","1,00"
"0,31","1,72","7,97","2,80","0,12","4,66","3,81","0,91","0,25","5,91","4,61","20,15","1,00"
"1,23","0,52","7,62","1,72","1,45","8,20","0,06","8,81","4,98","1,97","8,45","32,47","1,00"
"8,24","8,09","1,31","2,10","0,75","7,37","1,38","1,68","7,18","4,81","4,94","27,36","1,00"
"7,96","8,92","0,96","1,36","1,78","2,85","5,48","3,79","2,30","0,16","4,60","19,18","1,00"
"1,55","1,67","0,27","0,75","7,63","3,73","7,33","1,12","0,38","3,06","7,37","22,99","1,00"
"2,35","1,38","1,60","7,91","0,19","7,11","7,42","7,56","4,86","1,24","2,19","30,38","1,00"
"0,68","1,98","8,14","2,55","0,16","7,24","7,01","5,97","7,33","2,27","3,53","33,35","1,00"
"0,94","1,08","2,51","8,56","0,56","3,23","2,44","2,48","7,49","0,30","5,65","21,59","1,00"
"1,48","0,92","7,74","1,68","0,28","4,56","0,20","4,45","8,46","1,69","5,83","25,19","1,00"
"0,96","2,05","1,39","8,70","0,67","2,80","0,87","3,67","5,65","8,56","2,34","23,89","1,00"
"8,06","8,80","1,80","2,01","0,41","3,06","2,64","1,21","7,11","4,27","2,87","21,16","1,00"
"8,07","7,92","0,18","2,00","0,57","7,07","6,47","3,28","5,88","1,42","1,38","25,50","1,00"
"0,07","2,30","8,49","0,64","2,50","0,31","4,26","0,70","1,24","6,15","4,57","17,23","1,00"
"7,74","7,97","2,07","1,91","1,59","2,41","8,71","5,36","7,53","8,26","8,60","40,87","1,00"
"0,78","2,19","0,40","2,23","7,65","4,21","0,56","4,77","0,00","1,25","8,20","18,99","1,00"
"0,66","0,06","8,44","0,18","2,35","5,54","3,27","7,82","6,21","8,70","5,91","37,45","1,00"
"0,39","1,71","1,26","8,72","2,20","0,87","7,05","1,87","2,78","0,89","3,53","16,99","1,00"
"0,66","0,98","1,11","8,40","0,66","4,57","7,04","6,53","6,42","6,39","4,66","35,61","1,00"
"0,03","2,92","1,42","2,41","8,93","6,25","3,34","8,01","6,31","0,24","8,27","32,42","1,00"
"0,87","1,85","0,39","1,70","8,90","6,93","0,43","8,90","3,75","0,89","8,26","29,16","1,00"
"2,84","2,47","0,40","1,35","7,61","3,64","8,21","3,23","8,78","1,77","8,63","34,26","1,00"
"0,17","2,00","2,68","8,95","0,59","2,69","1,58","1,96","1,10","6,14","1,27","14,74","1,00"
"1,85","1,87","2,92","7,52","0,64","1,30","4,80","6,08","1,23","4,56","6,28","24,25","1,00"
"1,52","0,41","8,74","1,69","0,37","0,09","7,52","1,37","8,83","4,90","3,95","26,66","1,00"
"7,75","8,44","0,52","2,27","2,98","2,31","1,11","2,26","2,76","7,36","7,97","23,77","1,00"
"1,06","1,52","8,56","0,38","0,70","4,80","4,62","1,61","3,89","3,40","1,88","20,20","1,00"
"0,05","1,91","2,96","8,12","1,10","5,22","4,85","7,00","7,36","2,51","0,74","27,68","1,00"
"2,25","0,16","0,39","8,40","0,83","1,52","7,05","0,94","4,85","3,01","6,23","23,60","1,00"
"1,96","2,96","0,68","2,22","8,47","1,24","4,32","1,56","8,41","1,60","6,44","23,57","1,00"
"1,39","0,97","7,70","0,44","0,03","2,67","7,37","2,35","1,70","6,94","2,12","23,15","1,00"
"1,66","2,18","0,05","0,67","7,61","1,15","0,45","4,59","7,98","7,13","0,99","22,29","1,00"
"2,04","2,29","1,92","1,16","8,51","0,78","8,33","8,99","6,45","2,82","1,77","29,14","1,00"
"1,61","0,88","8,82","1,14","2,00","3,21","1,90","4,61","2,95","5,45","4,11","22,23","1,00"
"1,33","1,94","1,87","8,11","1,23","6,38","0,85","6,06","3,20","0,98","7,08","24,55","1,00"
"0,55","2,30","0,99","1,44","8,70","7,40","5,53","7,71","6,06","4,40","7,90","39,00","1,00"
"8,83","8,20","0,69","0,84","2,29","2,96","5,79","0,62","6,51","5,37","1,50","22,75","1,00"
"8,81","7,94","0,94","0,15","1,37","8,38","1,92","2,95","2,53","4,74","2,47","22,99","1,00"
"2,37","0,88","2,24","8,42","2,06","6,98","7,87","8,51","7,78","5,65","7,28","44,07","1,00"
"0,06","0,96","7,51","0,31","0,42","0,16","4,28","0,29","8,26","0,70","8,96","22,65","1,00"
"0,23","0,39","1,56","8,82","1,20","3,44","7,94","6,95","5,10","2,84","8,37","34,64","1,00"
"8,02","8,84","1,99","1,76","1,90","8,92","4,65","0,88","3,60","2,07","1,44","21,56","1,00"
"0,21","0,91","8,12","0,73","2,28","3,88","3,19","8,46","6,72","4,53","8,77","35,55","1,00"
"0,42","1,29","8,89","1,80","2,15","5,08","6,86","6,69","4,68","5,24","8,70","37,25","1,00"
"0,29","2,00","8,98","0,10","2,28","3,74","0,97","0,51","3,89","5,55","6,99","21,65","1,00"
"0,61","0,99","0,75","2,28","7,63","6,19","0,33","2,33","2,77","2,59","8,26","22,47","1,00"
"1,03","1,57","8,99","2,49","2,22","2,05","4,20","5,43","6,67","8,88","8,30","35,53","1,00"
"1,43","0,00","7,75","0,79","1,24","5,57","9,00","5,15","6,27","5,51","7,44","38,94","1,00"
"1,11","2,07","8,72","0,07","2,47","8,90","4,57","2,60","6,49","8,16","3,57","34,29","1,00"
"0,61","1,46","8,41","1,71","1,42","4,38","4,66","6,06","1,60","4,07","4,20","24,97","1,00"
"7,55","8,06","1,69","0,99","0,22","0,22","1,26","1,93","8,89","8,72","8,98","30,00","1,00"
"0,24","2,69","0,42","1,03","8,25","0,81","0,31","1,60","5,92","3,15","7,00","18,79","1,00"
"8,32","8,73","0,22","0,24","0,81","1,34","6,43","0,06","8,65","0,65","4,64","21,77","1,00"
"1,22","0,04","0,22","1,05","7,72","2,12","1,02","6,88","7,91","1,12","7,71","26,76","1,00"
"2,16","0,58","8,33","2,81","1,43","8,25","4,20","7,55","5,21","1,40","8,00","34,61","1,00"
"0,68","1,61","0,50","1,88","8,48","3,12","8,35","7,45","3,73","3,59","8,83","35,07","1,00"
"0,77","1,86","7,51","0,59","0,52","6,05","2,91","6,66","1,89","1,98","0,10","19,59","1,00"
"0,99","0,53","0,46","2,48","8,81","4,67","2,29","4,36","5,44","2,60","8,67","28,03","1,00"
"0,45","2,97","1,20","2,24","8,33","8,72","2,94","6,18","2,90","1,20","8,02","29,96","1,00"
"1,49","0,16","0,35","8,47","1,85","0,76","5,88","4,22","6,03","3,60","1,09","21,58","1,00"
"8,96","8,84","1,29","0,34","0,96","0,41","8,10","0,78","6,06","0,00","3,45","18,80","1,00"
"1,03","0,29","0,91","8,27","0,91","2,17","4,26","6,56","2,71","3,04","5,67","24,41","1,00"
"7,82","8,70","0,95","0,10","0,33","6,75","6,81","3,14","3,17","1,16","4,55","25,58","1,00"
"2,43","0,75","1,51","1,54","8,05","7,28","2,59","4,25","1,64","3,44","8,81","28,01","1,00"
"0,38","1,45","7,54","1,27","2,00","5,25","1,27","0,00","0,52","0,18","8,26","15,48","1,00"
"0,48","1,09","0,95","8,69","1,44","7,80","1,46","7,53","2,07","4,75","7,63","31,24","1,00"
"1,67","1,00","1,91","8,10","1,88","7,59","5,01","8,91","0,93","7,17","0,29","29,90","1,00"
"8,57","8,37","2,10","1,77","2,29","7,03","5,21","4,49","4,65","5,78","3,46","30,62","1,00"
"1,99","2,07","1,09","1,18","7,67","8,76","5,57","0,67","4,23","2,61","1,17","23,01","1,00"
"2,01","1,65","0,86","8,79","0,91","0,22","2,64","8,22","0,05","0,38","3,22","14,73","1,00"
"0,67","1,26","0,05","8,39","1,48","4,68","2,09","3,61","6,38","5,69","0,07","22,52","1,00"
"7,94","7,60","1,86","0,78","0,63","5,05","6,88","1,62","8,71","0,76","3,26","26,28","1,00"
"0,10","1,32","8,60","0,79","0,07","1,15","4,30","0,04","0,48","2,37","5,91","14,25","1,00"
"7,53","7,61","2,14","0,17","1,59","6,29","3,77","4,11","7,71","3,56","4,86","30,30","1,00"
"0,73","2,99","2,14","0,77","8,00","6,74","3,63","4,88","2,02","7,69","2,10","27,06","1,00"
"8,28","8,33","0,40","1,25","1,11","2,81","7,59","1,97","8,07","4,14","3,17","27,75","1,00"
"8,44","8,89","1,98","2,25","1,39","5,07","8,96","4,81","7,55","4,66","7,69","38,74","1,00"
"1,84","1,74","8,24","2,58","1,74","1,53","7,90","3,00","1,63","4,95","8,59","27,60","1,00"
"1,46","0,66","0,28","8,21","0,98","0,19","5,06","5,27","2,61","7,21","2,82","23,16","1,00"
"1,66","1,67","7,64","0,06","2,17","1,01","0,79","2,75","1,53","5,02","8,68","19,78","1,00"
"0,52","1,64","9,00","0,61","0,49","7,21","0,81","0,71","1,15","5,04","2,48","17,40","1,00"
"0,20","2,45","1,12","0,55","7,57","6,51","3,08","6,01","8,32","3,55","8,12","35,59","1,00"
"2,12","1,01","0,52","8,36","1,42","3,37","3,99","8,57","3,71","5,94","7,72","33,30","1,00"
"1,16","2,40","1,11","7,95","0,74","1,26","2,03","5,14","4,19","4,18","3,67","20,47","1,00"
"0,50","1,11","8,12","0,44","0,56","6,82","4,49","1,01","0,98","5,98","5,69","24,97","1,00"
"8,63","8,05","0,77","1,03","2,18","7,76","8,30","6,06","6,87","1,01","2,18","32,18","1,00"
"1,56","1,14","2,24","7,86","1,78","8,59","7,60","5,26","7,50","5,21","5,37","39,53","1,00"
"1,85","2,85","1,06","0,67","8,42","6,35","0,55","5,72","1,15","0,85","6,06","20,68","1,00"
"8,59","8,42","1,22","2,42","0,52","2,26","1,34","0,70","5,36","1,72","0,84","12,22","1,00"
"0,04","1,19","8,58","2,61","0,77","0,05","5,89","4,68","3,47","3,09","2,11","19,29","1,00"
"0,10","1,52","7,63","2,02","0,66","5,34","2,61","4,24","7,35","0,31","2,03","21,88","1,00"
"2,05","1,14","0,84","8,17","0,27","4,02","3,11","8,30","8,32","4,09","6,90","34,74","1,00"
"0,91","2,28","8,43","1,27","1,06","0,92","2,92","4,58","4,81","4,91","2,01","20,15","1,00"
"1,90","0,64","0,25","8,03","1,57","6,79","8,33","3,23","6,04","2,53","6,19","33,11","1,00"
"8,05","8,95","0,83","1,45","0,58","6,99","4,17","4,99","8,22","3,58","4,71","32,66","1,00"
"2,47","0,09","0,48","1,88","8,17","0,47","3,41","7,15","5,75","3,10","7,60","27,48","1,00"
"8,55","8,99","0,21","2,46","0,33","5,44","3,83","0,50","7,72","0,40","2,03","19,92","1,00"
"1,95","1,96","7,96","1,92","0,71","3,94","3,94","1,39","3,84","1,53","7,83","22,47","1,00"
"1,41","1,49","1,64","0,24","8,56","1,36","7,74","7,29","1,16","2,07","8,06","27,68","1,00"
"0,95","1,36","7,53","1,93","0,21","6,05","0,71","4,61","2,83","8,85","4,46","27,51","1,00"
"7,62","8,31","2,03","0,14","1,55","2,02","3,07","0,05","3,93","2,03","2,07","13,17","1,00"
"1,14","1,09","7,95","1,99","1,32","5,05","8,13","2,18","3,13","4,49","7,58","30,56","1,00"
"1,31","0,92","7,60","0,46","2,06","4,81","2,42","6,23","3,98","6,18","6,42","30,04","1,00"
"1,15","2,33","2,30","1,18","8,39","6,63","2,95","4,40","8,60","0,81","8,89","32,28","1,00"
"1,36","1,87","1,82","7,68","0,57","8,75","3,64","4,44","8,98","3,35","7,24","36,40","1,00"
"8,06","7,65","0,49","1,74","0,28","0,37","7,20","0,07","1,96","8,45","7,14","25,19","1,00"
"0,92","0,95","8,17","2,44","1,56","4,50","0,67","4,18","1,14","5,27","4,31","20,07","1,00"
"8,16","8,53","1,27","0,76","1,29","7,13","7,22","2,89","2,40","0,77","0,92","21,33","1,00"
"8,33","7,59","1,93","1,90","0,15","1,49","4,70","2,53","6,14","8,22","5,28","28,36","1,00"
"1,21","1,80","0,68","8,06","0,93","5,98","5,33","6,99","4,66","8,71","8,43","40,10","1,00"
"2,00","1,18","7,71","0,39","0,45","5,22","1,28","8,71","8,15","5,47","3,81","32,64","1,00"
"0,68","2,56","2,21","0,52","8,90","8,31","8,69","7,43","7,74","4,36","0,80","37,33","1,00"
"7,55","8,22","2,06","1,38","1,29","0,75","4,36","0,90","4,93","0,17","1,69","12,80","1,00"
"1,18","0,75","7,55","0,65","1,18","6,95","7,82","2,73","4,57","5,96","8,78","36,81","1,00"
"8,10","8,38","1,57","1,79","1,25","5,79","4,91","4,07","7,84","5,43","8,85","36,89","1,00"
"7,68","8,39","2,29","0,80","2,26","2,28","4,33","0,01","8,88","2,94","5,37","23,81","1,00"
"0,21","1,00","2,50","0,87","8,14","4,60","1,22","0,71","6,47","4,42","6,54","23,96","1,00"
"1,39","0,19","7,74","1,24","2,42","7,42","6,19","8,95","5,13","0,42","6,91","35,02","1,00"
"2,23","1,22","8,37","2,03","2,02","6,72","5,58","2,94","8,99","6,82","6,29","37,34","1,00"
"0,06","2,36","8,85","0,20","1,47","6,42","3,26","0,71","0,92","3,61","8,85","23,77","1,00"
"2,11","0,93","0,97","8,64","0,73","5,78","3,33","7,39","5,42","1,27","8,00","31,19","1,00"
"2,39","2,89","1,62","1,02","8,67","2,72","3,92","3,13","1,91","4,71","0,30","16,69","1,00"
"1,75","2,25","8,53","2,24","0,49","3,16","6,66","4,80","8,08","0,22","6,61","29,53","1,00"
"7,95","8,78","0,44","1,30","0,51","4,44","6,37","1,82","8,70","7,66","4,85","33,84","1,00"
"0,76","0,53","0,80","8,90","2,15","4,05","6,21","6,42","7,32","2,28","0,01","26,29","1,00"
"2,54","2,49","1,68","1,94","8,14","0,71","4,42","7,63","3,74","1,34","7,65","25,49","1,00"
"1,53","0,51","9,00","0,68","1,69","4,23","6,77","6,52","3,20","7,68","8,01","36,41","1,00"
"2,02","1,13","0,83","0,54","8,91","7,60","8,23","2,58","2,29","1,53","4,57","26,80","1,00"
"1,34","2,30","1,68","1,99","8,36","3,79","4,96","1,54","8,42","2,50","8,96","30,17","1,00"
"1,26","0,33","8,64","0,70","1,80","3,19","6,42","8,30","0,02","8,41","8,76","35,10","1,00"
"1,32","0,58","7,74","2,69","0,11","4,35","3,80","8,84","7,66","2,73","6,25","33,63","1,00"
"8,43","7,69","0,00","1,77","0,54","5,26","2,24","2,85","6,12","5,86","6,48","28,81","1,00"
"1,12","1,82","1,92","8,05","1,90","1,17","0,59","8,86","7,77","2,22","6,38","26,99","1,00"
"2,13","2,22","1,82","8,21","1,61","0,93","5,03","8,33","1,41","2,14","4,67","22,51","1,00"
"2,50","2,19","0,95","8,02","1,11","4,53","4,47","5,35","8,39","5,53","1,99","30,26","1,00"
"1,61","1,99","7,66","0,50","2,06","6,89","3,98","5,00","0,46","6,09","8,59","31,01","1,00"
"7,53","7,59","1,49","2,28","0,21","6,21","7,20","0,54","5,84","6,96","4,18","30,93","1,00"
"1,32","1,43","0,82","0,42","8,08","0,89","6,33","1,69","4,15","0,32","8,34","21,72","1,00"
"0,99","1,34","0,40","8,05","0,86","0,53","7,59","8,33","1,80","5,10","5,31","28,66","1,00"
"1,46","0,30","2,68","7,54","0,74","0,63","6,09","8,58","3,84","0,79","8,18","28,11","1,00"
"8,50","8,45","1,84","0,80","0,99","7,58","7,48","1,47","3,09","7,48","5,77","32,87","1,00"
"1,58","0,10","8,91","0,61","0,62","5,63","4,08","7,35","5,87","8,81","2,58","34,32","1,00"
"1,81","2,02","7,94","1,00","1,16","7,74","4,66","5,76","2,72","3,16","3,38","27,42","1,00"
"7,65","7,73","2,10","1,14","0,85","4,78","2,68","3,19","0,17","8,05","0,52","19,39","1,00"
"2,39","2,69","2,44","0,21","8,27","5,90","1,86","2,09","7,97","4,03","4,87","26,72","1,00"
"8,16","7,61","1,49","1,04","2,82","1,44","5,28","0,01","4,34","5,29","2,29","18,65","1,00"
"1,05","0,05","1,14","1,67","7,82","0,93","3,14","1,42","5,14","1,04","7,49","19,16","1,00"
"7,90","8,06","2,39","0,30","1,62","4,58","5,94","2,18","0,94","7,24","1,69","22,57","1,00"
"8,46","7,58","0,28","0,96","1,96","2,16","8,78","1,61","7,82","6,62","4,63","31,62","1,00"
"7,80","8,12","1,86","1,10","1,46","0,90","3,17","1,09","1,24","7,88","6,60","20,88","1,00"
"0,97","1,74","7,92","1,73","2,20","2,25","1,60","8,89","3,70","7,85","0,24","24,53","1,00"
"1,02","0,96","8,32","1,43","0,56","7,22","1,74","4,73","6,71","4,57","6,56","31,53","1,00"
"0,64","2,07","0,58","8,67","1,30","3,57","6,67","1,08","7,58","3,64","3,26","25,80","1,00"
"8,26","7,71","1,75","1,32","1,42","1,36","2,92","2,46","5,82","4,23","2,48","19,27","1,00"
"0,98","0,47","8,28","1,37","1,79","2,07","3,12","8,96","0,43","0,21","2,55","17,34","1,00"
"8,60","8,17","1,53","0,99","2,16","1,28","2,55","1,80","6,43","0,71","8,34","21,11","1,00"
"1,05","0,54","2,17","8,81","2,21","8,32","0,33","5,78","6,85","0,78","3,25","25,31","1,00"
"2,36","0,28","1,80","2,12","8,54","2,62","7,14","2,92","4,71","2,00","8,70","28,09","1,00"
"1,44","0,71","8,41","0,24","1,45","6,41","4,97","4,69","1,07","7,34","0,99","25,47","1,00"
"8,18","8,11","0,53","0,87","0,07","8,19","3,83","1,89","8,12","2,15","6,25","30,43","1,00"
"1,64","2,07","8,68","2,58","2,42","5,74","8,08","2,83","0,76","7,63","6,75","31,79","1,00"
