Speed,Strength,Lightning,Wind,Water,Fire,summ
"1,56","8,27","4,65","6,85","4,04","6,32","31,69"
"6,01","0,72","1,80","0,31","2,15","0,48","11,47"
"4,78","3,18","3,09","4,23","2,47","8,24","25,99"
"0,76","8,66","0,14","0,56","8,15","5,44","23,71"
"8,13","1,49","2,37","3,33","3,53","1,68","20,53"
"7,48","5,85","4,08","3,84","5,80","3,93","30,98"
"6,88","1,78","1,63","3,78","3,97","4,05","22,09"
"1,03","4,27","1,83","3,44","2,01","5,35","17,93"
"6,89","8,50","1,03","4,99","2,51","7,54","31,46"
"6,96","4,46","6,79","0,16","0,82","8,26","27,45"
"2,76","7,19","7,85","3,67","5,20","6,14","32,81"
"3,61","1,02","0,16","7,51","3,10","7,56","22,96"
"2,22","6,49","4,83","7,87","1,79","2,86","26,06"
"2,05","8,88","1,35","8,85","5,00","7,64","33,77"
"1,66","0,21","7,50","6,53","0,58","8,59","25,07"
"8,58","5,34","4,34","3,38","2,70","8,27","32,61"
"4,66","3,81","0,91","0,25","5,91","4,61","20,15"
"1,52","4,00","4,38","7,00","1,02","8,87","26,79"
"3,17","8,97","1,34","6,78","8,24","1,48","29,98"
"3,38","5,23","0,24","5,95","8,83","9,00","32,63"
"2,55","7,22","3,59","6,12","0,61","4,11","24,20"
"4,09","1,21","1,28","7,97","8,91","3,85","27,31"
"1,53","1,07","2,73","7,07","3,59","7,54","23,53"
"1,77","5,64","0,78","1,23","5,18","2,44","17,04"
"8,13","3,86","2,56","0,50","4,50","7,21","26,76"
"3,99","6,04","8,76","1,49","7,57","8,58","36,43"
"2,95","2,68","6,89","3,17","5,39","5,63","26,71"
"7,72","6,59","5,45","6,19","2,22","5,11","33,28"
"0,53","4,56","7,90","2,11","5,85","5,37","26,32"
"4,52","4,61","5,74","5,43","2,18","7,67","30,15"
"2,60","1,10","6,81","2,56","1,12","6,12","20,31"
"7,25","5,36","5,78","4,14","6,14","0,46","29,13"
"8,78","5,72","4,83","1,14","5,00","0,86","26,33"
"8,37","1,38","5,53","4,19","2,05","4,12","25,64"
"3,90","7,32","1,76","0,40","1,96","4,92","20,26"
"4,92","7,03","5,35","0,61","7,09","0,88","25,88"
"7,24","3,23","6,33","2,02","1,21","3,27","23,30"
"7,49","2,35","7,63","5,82","1,78","8,37","33,44"
"4,98","5,77","0,69","4,92","1,90","5,23","23,49"
"4,17","3,06","6,42","8,68","2,60","0,65","25,58"
"1,48","0,38","1,94","1,87","8,83","3,21","17,71"
"6,19","6,15","0,94","3,96","1,29","4,60","23,13"
"4,26","8,06","1,03","5,84","2,05","7,51","28,75"
"5,25","3,27","8,58","0,75","8,63","2,26","28,74"
"3,48","5,68","1,25","8,96","6,45","4,55","30,37"
"0,64","6,40","7,45","3,78","1,46","4,01","23,74"
"5,61","5,04","2,95","2,63","4,94","4,92","26,09"
"8,47","1,53","3,17","7,99","0,58","6,31","28,05"
"7,63","8,41","6,74","1,96","7,66","4,43","36,83"
"6,87","1,67","6,62","3,43","3,36","0,96","22,91"
"7,81","0,99","1,46","7,23","0,64","5,52","23,65"
"6,56","5,02","5,71","6,63","3,90","8,98","36,80"
"8,91","5,58","3,35","6,77","4,72","1,35","30,68"
"4,52","7,82","6,40","0,99","2,20","7,26","29,19"
"7,41","4,70","4,87","3,18","7,06","8,53","35,75"
"8,69","7,42","6,97","3,39","4,10","0,97","31,54"
"4,02","6,72","0,83","7,22","3,00","5,66","27,45"
"4,93","5,36","7,49","3,80","5,92","6,09","33,59"
"2,18","8,18","8,44","0,44","8,52","4,09","31,85"
"0,70","8,80","0,27","8,17","3,22","0,71","21,87"
"7,42","6,19","8,95","5,13","0,42","6,91","35,02"
"7,87","5,82","1,70","2,07","0,06","0,73","18,25"
"2,69","8,52","5,12","0,12","6,14","7,88","30,47"
"4,46","6,18","6,75","5,12","7,12","0,07","29,70"
"7,26","5,55","2,23","5,39","8,58","4,43","33,44"
"7,35","8,51","1,94","0,32","6,38","6,94","31,44"
"1,55","3,73","0,97","6,20","2,73","1,15","16,33"
"6,82","6,58","2,19","2,78","7,15","7,91","33,43"
"7,69","7,10","5,46","6,88","4,38","7,01","38,52"
"6,53","8,92","6,69","7,12","3,58","3,19","36,03"
"5,52","2,00","1,75","5,15","3,37","8,73","26,52"
"1,44","5,72","8,56","8,53","6,68","8,70","39,63"
"7,60","5,69","7,97","0,47","0,09","4,03","25,85"
"4,39","6,88","5,24","7,19","8,90","4,56","37,16"
"6,43","3,42","5,88","5,16","1,25","7,04","29,18"
"6,28","1,56","7,20","3,40","6,16","1,73","26,33"
"8,32","4,56","6,34","8,14","4,13","2,44","33,93"
"0,12","4,49","1,09","3,35","3,84","3,00","15,89"
"0,63","1,40","5,86","4,25","0,81","8,30","21,25"
"2,91","4,35","4,72","6,54","2,10","2,98","23,60"
"4,11","3,24","0,99","1,80","4,44","5,86","20,44"
"5,16","5,25","2,86","7,72","0,42","6,88","28,29"
"3,77","1,38","0,84","4,34","0,27","7,30","17,90"
"0,41","0,75","5,94","4,69","2,09","8,66","22,54"
"4,73","6,81","0,42","1,64","7,90","2,45","23,95"
"8,92","4,65","0,88","3,60","2,07","1,44","21,56"
"2,69","1,73","4,15","5,23","1,51","5,45","20,76"
"5,58","4,57","4,13","2,05","1,03","3,21","20,57"
"5,12","1,05","5,78","8,97","1,95","1,44","24,31"
"4,19","4,36","1,17","7,93","0,46","4,29","22,40"
"0,87","7,05","1,87","2,78","0,89","3,53","16,99"
"6,09","8,86","5,06","1,87","0,78","0,39","23,05"
"7,67","7,00","0,46","5,31","4,88","6,46","31,78"
"3,63","5,33","5,53","2,17","0,02","8,57","25,25"
"4,26","4,56","7,67","8,34","0,68","8,16","33,67"
"3,69","7,92","5,69","2,36","6,09","8,04","33,79"
"3,21","3,92","4,17","7,70","8,93","3,29","31,22"
"8,64","2,75","2,78","8,11","0,49","8,26","31,03"
"6,21","7,20","0,54","5,84","6,96","4,18","30,93"
"7,60","2,86","1,76","6,42","1,32","8,49","28,45"
"2,91","0,39","2,82","4,12","1,99","8,72","20,95"
"7,60","3,93","3,14","0,59","2,84","0,44","18,54"
"5,56","0,76","2,16","5,50","7,16","3,51","24,65"
"7,33","6,74","6,01","7,38","7,10","6,68","41,24"
"2,01","7,52","1,50","6,08","1,19","1,32","19,62"
"4,15","7,02","0,00","8,51","3,52","1,82","25,02"
"7,04","5,76","1,97","6,97","4,62","1,67","28,03"
"0,50","8,69","0,37","7,77","0,11","7,27","24,71"
"8,94","3,87","6,14","4,36","6,94","3,39","33,64"
"4,38","1,51","8,81","4,55","6,34","5,81","31,40"
"4,44","6,37","1,82","8,70","7,66","4,85","33,84"
"1,36","6,25","1,20","4,58","8,88","1,68","23,95"
"3,90","3,80","1,34","5,90","5,35","5,65","25,94"
"3,43","5,29","6,43","7,43","5,52","6,14","34,24"
"5,62","3,15","8,41","2,77","0,51","8,19","28,65"
"6,07","8,54","2,33","1,41","0,08","3,52","21,95"
"1,99","5,98","0,45","6,32","1,74","4,08","20,56"
"4,78","3,18","3,09","4,23","2,47","8,24","25,99"
"8,73","6,62","0,82","7,23","1,99","3,80","29,19"
"1,05","8,10","3,59","7,35","3,49","8,38","31,96"
"8,17","3,91","5,58","0,08","2,60","8,33","28,67"
"0,12","1,58","8,95","0,86","2,68","8,31","22,50"
"4,72","7,86","8,09","8,65","0,90","4,13","34,35"
"1,91","6,65","4,18","4,41","3,27","7,71","28,13"
"6,83","1,10","6,55","4,36","0,09","8,54","27,47"
"4,25","2,70","0,11","7,69","1,89","6,89","23,53"
"1,59","8,04","7,50","6,35","0,44","1,66","25,58"
"5,61","7,97","6,47","3,41","1,20","7,85","32,51"
"3,50","5,20","7,70","4,50","3,45","8,88","33,23"
"7,56","6,89","2,25","6,13","2,03","6,18","31,04"
"6,02","8,23","5,07","5,00","0,08","8,26","32,66"
"5,87","3,50","2,65","1,72","7,08","2,01","22,83"
"1,10","8,59","3,52","2,64","0,43","5,63","21,91"
"4,17","3,41","4,33","2,53","6,00","8,50","28,94"
"5,95","8,90","2,21","4,11","1,09","2,89","25,15"
"3,90","1,92","5,25","4,92","6,62","0,34","22,95"
"0,05","0,88","3,39","3,35","4,18","6,27","18,12"
"2,17","2,92","8,38","4,56","2,40","5,09","25,52"
"0,25","2,08","0,88","2,73","4,92","8,98","19,84"
"5,24","1,66","3,04","7,31","3,55","7,66","28,46"
"5,92","2,80","6,34","7,60","0,97","1,10","24,73"
"4,04","2,88","0,96","2,74","3,74","0,52","14,88"
"6,64","4,62","1,22","6,87","1,16","7,25","27,76"
"0,22","2,64","8,22","0,05","0,38","3,22","14,73"
"7,20","6,88","4,96","0,78","4,60","0,62","25,04"
"2,93","7,13","1,39","3,54","3,69","2,82","21,50"
"7,85","1,96","3,13","4,76","5,99","2,12","25,81"
"1,58","0,07","0,52","5,18","7,25","6,06","20,66"
"3,59","7,91","4,11","5,65","2,93","4,95","29,14"
"4,20","5,60","3,43","7,13","2,43","7,80","30,59"
"1,52","6,44","7,63","4,29","0,65","6,80","27,33"
"2,02","2,91","1,27","8,75","7,44","6,01","28,40"
"8,95","6,76","4,78","6,38","0,13","2,63","29,63"
"8,37","8,50","1,48","0,05","5,02","4,69","28,11"
"5,46","0,55","8,86","7,15","3,18","1,19","26,39"
"2,80","7,54","5,45","4,67","4,98","6,87","32,31"
"5,50","3,59","4,05","2,49","4,24","5,55","25,42"
"4,35","2,37","8,67","5,48","0,13","1,93","22,93"
"6,07","3,93","0,38","2,21","1,22","6,83","20,64"
"4,72","3,83","3,26","0,02","0,07","0,69","12,59"
"2,17","0,46","3,46","8,62","0,01","6,88","21,60"
"1,50","6,79","0,05","3,02","6,33","8,89","26,58"
"3,44","7,94","6,95","5,10","2,84","8,37","34,64"
"4,40","4,61","7,52","6,74","8,51","5,86","37,64"
"7,17","5,52","7,27","2,75","1,99","4,32","29,02"
"2,64","0,37","1,71","0,81","8,75","0,20","14,48"
"0,99","3,54","4,89","5,65","5,47","3,01","23,55"
"3,60","4,56","4,68","8,92","0,70","0,30","22,76"
"4,23","6,64","8,02","0,28","0,52","7,92","27,61"
"7,53","2,34","7,21","5,12","5,15","0,46","27,81"
"3,96","1,78","7,32","3,57","2,06","8,39","27,08"
"4,60","2,30","6,92","7,84","1,16","6,67","29,49"
"5,14","2,88","0,08","2,05","4,77","0,40","15,32"
"4,33","1,83","6,31","1,42","3,39","8,33","25,61"
"3,11","0,29","8,59","0,21","0,65","5,95","18,80"
"6,70","5,87","8,43","7,95","0,42","8,82","38,19"
"3,23","2,44","2,48","7,49","0,30","5,65","21,59"
"6,68","1,29","6,89","7,94","2,11","5,35","30,26"
"5,95","1,15","4,23","8,04","7,56","1,48","28,41"
"8,46","0,56","5,90","2,28","4,26","5,07","26,53"
"1,63","4,26","8,50","8,33","2,64","6,68","32,04"
"5,63","4,08","7,35","5,87","8,81","2,58","34,32"
"1,53","0,10","1,27","8,04","4,52","5,81","21,27"
"5,49","2,45","7,74","1,43","2,20","7,93","27,24"
"2,34","1,48","2,83","2,47","8,71","0,21","18,04"
"6,13","2,37","6,24","1,61","0,32","5,27","21,94"
"0,65","3,92","6,85","3,53","1,71","1,79","18,45"
"0,54","5,02","7,57","8,36","6,76","7,40","35,65"
"7,95","8,57","0,40","1,92","3,34","0,21","22,39"
"2,35","8,12","3,53","6,13","2,96","2,63","25,72"
"4,07","1,23","6,23","0,61","3,36","1,60","17,10"
"4,49","1,57","1,53","7,19","0,17","1,00","15,95"
"5,92","0,61","5,30","4,57","1,79","7,88","26,07"
"7,99","0,05","7,98","0,23","0,19","8,65","25,09"
"6,56","0,46","4,87","7,27","3,13","8,88","31,17"
"6,13","7,77","3,00","5,63","6,84","3,11","32,48"
"1,42","1,64","1,21","3,40","4,87","6,39","18,93"
"8,93","5,05","3,96","4,80","0,65","7,87","31,26"
"0,27","7,73","1,76","4,20","2,97","0,52","17,45"
"1,49","8,89","2,34","4,03","1,01","5,80","23,56"
"4,21","8,69","2,90","4,67","1,10","5,20","26,77"
"0,64","6,64","8,66","6,72","8,44","7,26","38,36"
"5,86","4,76","7,32","6,63","7,84","1,88","34,29"
"4,55","4,45","8,26","8,75","8,71","8,98","43,70"
"2,98","2,41","3,23","4,44","3,43","3,67","20,16"
"4,59","6,42","2,14","5,57","5,08","5,27","29,07"
"0,19","5,06","5,27","2,61","7,21","2,82","23,16"
"5,82","4,18","4,23","3,60","0,27","6,93","25,03"
"3,61","8,00","2,28","5,61","3,82","1,23","24,55"
"1,24","8,82","2,92","5,35","4,23","6,16","28,72"
"5,55","7,98","8,29","8,68","1,18","2,62","34,30"
"6,87","5,05","4,57","0,80","4,26","1,87","23,42"
"3,64","8,21","3,23","8,78","1,77","8,63","34,26"
"4,14","2,92","7,17","6,90","2,02","5,02","28,17"
"2,00","3,49","1,99","3,75","5,87","4,29","21,39"
"4,57","8,01","8,54","1,87","5,43","2,82","31,24"
"0,22","2,36","6,74","2,36","2,18","3,39","17,25"
"5,54","1,36","3,25","4,71","7,61","6,31","28,78"
"8,16","5,48","5,34","3,81","5,74","8,18","36,71"
"2,93","2,87","1,72","7,58","5,79","0,90","21,79"
"4,94","5,67","8,82","4,20","8,09","1,45","33,17"
"5,46","3,37","4,45","1,95","6,07","8,45","29,75"
"2,42","7,56","3,36","4,61","5,24","2,56","25,75"
"2,71","2,51","8,34","1,17","6,73","4,16","25,62"
"1,97","0,91","4,44","3,80","0,43","7,74","19,29"
"7,79","8,82","0,15","8,12","2,77","1,05","28,70"
"5,43","3,89","0,83","4,77","3,06","8,28","26,26"
"2,59","3,18","2,99","6,56","0,82","8,82","24,96"
"5,21","1,26","1,03","4,94","1,33","1,43","15,20"
"6,34","8,55","3,04","1,66","0,72","6,92","27,23"
"8,76","2,71","0,49","8,49","4,15","7,45","32,05"
"0,77","4,96","8,03","2,88","1,62","6,13","24,39"
"0,82","8,81","1,81","3,71","1,04","1,72","17,91"
"8,79","6,22","3,59","4,10","6,54","6,56","35,80"
"3,88","8,71","1,09","4,81","0,11","5,37","23,97"
"7,74","4,47","3,57","3,26","4,26","4,46","27,76"
"4,62","6,73","2,24","5,75","6,51","7,54","33,39"
"2,87","3,58","3,82","0,73","0,01","8,41","19,42"
"2,92","5,81","4,26","5,57","6,45","4,18","29,19"
"0,91","8,01","1,11","4,27","7,48","0,70","22,48"
"3,08","3,77","8,47","5,79","0,65","1,00","22,76"
"1,70","8,59","6,60","6,93","7,19","1,21","32,22"
"1,22","5,63","1,90","4,87","6,81","8,97","29,40"
"2,06","3,87","7,97","7,69","1,79","7,10","30,48"
"0,95","7,26","5,40","5,89","1,53","1,31","22,34"
"0,64","0,72","8,18","0,36","7,40","2,29","19,59"
"8,85","3,53","2,22","3,77","3,56","1,63","23,56"
"5,77","7,38","5,66","4,12","0,75","6,80","30,48"
"4,84","2,59","2,01","1,34","5,22","7,05","23,05"
"2,28","7,67","3,18","4,42","5,22","7,70","30,47"
"4,48","6,82","6,50","4,13","1,06","1,83","24,82"
"3,66","0,95","7,12","7,44","0,68","1,77","21,62"
"8,75","4,57","5,40","0,60","6,63","0,70","26,65"
"7,31","2,38","5,85","6,97","4,96","5,16","32,63"
"7,18","4,53","5,78","3,81","5,89","7,09","34,28"
"1,11","8,06","0,08","5,77","7,37","1,76","24,15"
"4,79","1,19","0,18","4,27","5,17","1,17","16,77"
"1,15","4,30","0,04","0,48","2,37","5,91","14,25"
"2,58","2,18","6,70","8,63","3,07","7,08","30,24"
"2,98","5,90","1,93","7,71","5,85","7,16","31,53"
"3,67","6,46","0,95","0,36","2,96","1,21","15,61"
"8,25","3,72","8,63","0,01","4,97","6,75","32,33"
"0,37","1,45","6,43","6,93","8,19","4,95","28,32"
"8,73","1,52","4,15","6,48","1,00","4,42","26,30"
"4,64","4,06","3,96","2,51","4,12","5,66","24,95"
"4,11","0,11","3,11","3,49","8,87","0,29","19,98"
"8,43","6,13","6,13","8,06","7,24","7,58","43,57"
"4,89","1,76","2,68","2,26","1,18","5,40","18,17"
"3,22","7,06","4,91","2,35","5,27","0,65","23,46"
"3,89","5,10","5,32","5,02","3,72","7,98","31,03"
"4,56","0,20","4,45","8,46","1,69","5,83","25,19"
"0,80","0,34","8,61","6,45","0,36","6,75","23,31"
"3,59","7,08","6,32","6,80","8,99","0,62","33,40"
"0,05","3,26","7,45","1,42","1,57","8,34","22,09"
"7,90","7,50","3,48","1,17","4,69","6,88","31,62"
"0,69","5,62","1,05","1,82","4,15","3,59","16,92"
"8,30","3,12","0,68","5,13","2,23","0,11","19,57"
"7,04","3,61","6,05","6,26","5,96","8,07","36,99"
"1,48","7,03","1,03","5,99","0,48","1,81","17,82"
"4,05","4,62","6,69","7,88","3,75","2,18","29,17"
"6,47","6,50","1,11","6,03","6,35","4,39","30,85"
"2,37","6,89","8,63","8,42","6,01","4,46","36,78"
"1,73","6,80","8,32","7,92","3,34","5,44","33,55"
"1,23","3,34","0,22","5,07","2,09","2,87","14,82"
"0,27","8,32","5,50","2,08","3,61","5,69","25,47"
"7,99","8,61","0,34","5,23","1,01","6,70","29,88"
"6,82","3,45","0,51","2,07","4,61","0,05","17,51"
"0,98","4,72","7,82","3,40","6,89","4,74","28,55"
"0,28","3,53","0,08","6,05","1,31","8,35","19,60"
"4,73","2,09","8,48","6,57","6,56","8,49","36,92"
"7,61","4,20","0,51","1,73","0,22","1,08","15,35"
"4,82","2,90","3,87","2,08","0,54","5,74","19,95"
"3,29","1,86","1,43","7,87","0,03","1,31","15,79"
"8,72","2,94","6,18","2,90","1,20","8,02","29,96"
"8,14","8,17","5,41","0,27","0,75","6,89","29,63"
"0,34","0,57","1,42","5,66","6,33","7,97","22,29"
"4,79","2,72","1,16","1,27","1,58","8,55","20,07"
"1,79","5,29","1,29","3,13","5,31","0,33","17,14"
"8,17","4,22","0,04","7,39","0,67","7,61","28,10"
"1,73","4,01","8,43","7,47","1,77","8,58","31,99"
"3,01","8,27","4,79","3,93","3,52","6,42","29,94"
"5,78","3,33","7,39","5,42","1,27","8,00","31,19"
"5,26","4,53","2,27","7,64","0,60","7,91","28,21"
"2,20","7,54","3,69","4,86","1,90","8,94","29,13"
"1,29","0,67","2,40","6,38","4,56","2,83","18,13"
"2,71","4,73","5,40","7,62","4,79","7,48","32,73"
"6,52","1,36","3,07","1,28","0,10","2,24","14,57"
"1,56","0,77","4,81","2,01","0,60","0,74","10,49"
"4,48","6,19","0,93","3,80","0,11","6,23","21,74"
"2,75","0,53","8,43","2,35","6,78","1,16","22,00"
"0,50","7,91","4,25","1,63","0,57","3,36","18,22"
"7,69","8,60","2,69","0,25","3,42","8,55","31,20"
"1,80","2,66","6,18","0,87","2,89","8,93","23,33"
"6,60","8,47","2,08","0,26","7,27","0,26","24,94"
"7,30","1,26","4,38","3,99","1,32","5,21","23,46"
"7,07","6,47","3,28","5,88","1,42","1,38","25,50"
"0,42","7,00","8,29","5,77","2,32","4,41","28,21"
"6,28","6,71","2,44","7,12","5,38","1,52","29,45"
"5,33","2,61","0,31","5,26","2,37","5,84","21,72"
"1,98","8,99","3,84","5,06","7,02","3,48","30,37"
"3,43","0,42","5,26","1,18","7,08","6,61","23,98"
"4,67","1,62","2,52","5,15","2,90","3,23","20,09"
"2,00","3,68","7,64","8,77","0,20","2,39","24,68"
"8,61","3,11","5,93","2,81","2,50","1,65","24,61"
"4,30","5,43","8,61","4,18","3,24","3,60","29,36"
"1,36","2,92","2,46","5,82","4,23","2,48","19,27"
"2,49","6,16","5,67","3,94","8,86","3,36","30,48"
"3,49","0,37","3,62","5,27","0,88","4,01","17,64"
"2,72","2,56","1,05","6,89","0,77","8,56","22,55"
"5,74","4,50","7,64","7,35","3,47","7,05","35,75"
"7,17","2,38","5,12","5,31","5,38","8,22","33,58"
"3,63","3,40","8,64","2,22","0,89","3,94","22,72"
"0,02","5,17","4,84","8,26","4,10","0,08","22,47"
"7,94","0,04","4,36","1,63","5,59","0,55","20,11"
"6,22","4,91","8,64","6,14","0,17","3,77","29,85"
"4,19","3,50","6,99","7,83","6,19","5,84","34,54"
"2,16","2,95","2,97","5,60","5,84","3,88","23,40"
"1,89","4,87","7,92","4,91","6,96","6,87","33,42"
"7,29","4,79","8,79","3,13","0,75","4,45","29,20"
"1,57","8,78","2,42","3,20","0,85","3,81","20,63"
"5,05","6,88","1,62","8,71","0,76","3,26","26,28"
"4,03","3,71","8,90","7,61","3,75","7,09","35,09"
"4,83","4,90","1,59","6,59","0,76","8,15","26,82"
"8,15","8,73","0,78","5,27","1,13","1,46","25,52"
"1,72","3,54","0,89","3,44","4,11","3,60","17,30"
"7,94","3,38","0,94","8,69","3,80","4,40","29,15"
"4,11","1,60","1,92","6,75","8,98","6,89","30,25"
"5,39","8,59","6,00","4,91","6,51","2,20","33,60"
"1,98","0,66","5,28","7,60","8,83","8,81","33,16"
"7,80","1,18","1,75","0,93","3,50","7,56","22,72"
