Speed,Strength,Lightning,Wind,Water,Fire,summ
"8,53","8,88","8,76","6,98","0,47","1,65","35,27"
"8,52","2,69","1,53","6,62","8,93","6,46","34,75"
"8,52","8,69",6,"5,28","3,7","3,11","35,3"
"8,52","3,58","2,94","6,18","4,31","3,89","29,42"
"8,52","0,83","2,73","3,31","5,58","8,44","29,41"
"8,51","4,03","0,14","6,54","1,72","8,15","29,09"
"8,5","5,48","1,34","4,49","8,78","2,28","30,87"
"8,5","1,07","1,66","7,89","0,38","8,61","28,11"
"8,5","7,46","0,03","1,98","6,65","3,45","28,07"
"8,5","1,07","1,66","7,89","0,38","8,61","28,11"
"8,49","2,19","3,65","8,65","3,61","4,61","31,2"
"8,49","6,1","1,97","6,4","2,61","5,71","31,28"
"8,47","1,11","7,77","2,42","7,04","7,31","34,12"
"8,47","5,2","8,64","8,26","1,68","2,02","34,27"
"8,47","1,53","3,17","7,99","0,58","6,31","28,05"
"8,46","0,56","5,9","2,28","4,26","5,07","26,53"
"8,46","6,67","8,3","6,73","1,05","5,02","36,23"
"8,46","3,62","5,42","7,53","0,35","7,57","32,95"
"8,45","6,29","8,83","5,3","5,97","1,96","36,8"
"8,44","7,96","0,05","5,82","4,74","4,81","31,82"
"8,44","4,49","7,58","8,94","2,73","1,91","34,09"
"8,44","4,74","5,45","8,33",1,"6,67","34,63"
"8,44","7,51","8,61","8,93","0,85","8,12","42,46"
"8,44","4,32","6,7","5,75","0,62","4,23","30,06"
"8,43","6,13","6,13","8,06","7,24","7,58","43,57"
"8,43","3,02","5,29","2,42","1,51","7,55","28,22"
"8,42","0,35","7,82","2,51","4,55","3,21","26,86"
"8,41","7,58","8,55","8,65","6,38","3,01","42,58"
"8,41","1,6","1,7","8,92","6,29","8,42","35,34"
"8,4","4,31","0,57","5,16","1,73","7,94","28,11"
"8,4","0,55","8,34","1,89","5,07","3,25","27,5"
"8,39","3,47","7,26","3,82","1,24","5,45","29,63"
"8,38","1,92","2,95","2,53","4,74","2,47","22,99"
"8,38","8,16","7,51","8,63","4,63","3,74","41,05"
"8,38","2,82","0,82","4,64","4,22",0,"20,88"
"8,37","1,38","5,53","4,19","2,05","4,12","25,64"
"8,37","8,5","1,48","0,05","5,02","4,69","28,11"
"8,37","3,88","1,85","5,73","6,97","8,64","35,44"
"8,37","0,75","5,74","5,12","0,11","5,77","25,86"
"8,36","8,61","2,13","4,57","2,74","4,6","31,01"
"8,36","4,78","0,13","2,61","1,71","7,48","25,07"
"8,36","6,33","6,7","8,19","1,86","6,38","37,82"
"8,36","6,59","1,76","3,39","1,66","7,47","29,23"
"8,36","7,53","1,72","4,88","2,34","1,25","26,08"
"8,36","4,55","6,71","8,66","3,87","8,82","40,97"
"8,36","6,1","6,46","1,09","7,76","3,59","33,36"
"8,35","3,26","7,51","4,5","4,08","3,65","31,35"
"8,35","3,37","7,99","3,59","1,96","0,32","25,58"
"8,35","8,98","1,68","6,96","1,63","5,17","32,77"
"8,35","4,23","0,03","7,82","0,93","1,06","22,42"
"8,34","3,07","2,17","5,44","4,69","8,41","32,12"
"8,34","0,03","7,22","4,5","4,64","7,24","31,97"
"8,34","8,73","7,49","5,06","6,42","5,82","41,86"
"8,34","0,62","5,78","0,12","1,1","8,59","24,55"
"8,33","0,77","4,05","2,03","4,88","3,39","23,45"
"8,33","7,04","8,43","1,26","7,38","7,42","39,86"
"8,33","5,11","8,2","1,78","3,81","7,89","35,12"
"8,32","0,33","5,78","6,85","0,78","3,25","25,31"
"8,32","7,88","0,31","3,52","2,57","2,39","24,99"
"8,32","1,89","0,75","6,42","3,52","6,83","27,73"
"8,32","4,56","6,34","8,14","4,13","2,44","33,93"
"8,31","8,69","7,43","7,74","4,36","0,8","37,33"
"8,31","5,25","4,56","2,81","5,69","6,9","33,52"
"8,31","7,7","7,86","2,82","3,7","5,95","36,34"
"8,31","7,7","0,72","8,65","5,37","4,16","34,91"
"8,3","6,08","2,62","7,92","3,29","7,01","35,22"
"8,3","3,12","0,68","5,13","2,23","0,11","19,57"
"8,3","1,98","2,72","4,55","7,85","8,38","33,78"
"8,29","5,88","7,36","7,13","5,88","0,53","35,07"
"8,29","3,31","8,61","1,93","4,9","1,36","28,4"
"8,29","2,11","0,37","8,07","8,09","4,86","31,79"
"8,29","4,94","5,72","3,4","6,62","3,97","32,94"
"8,28","8,75","0,6","4,28","1,76","0,35","24,02"
"8,28","4,73","2,48","2,44","1,77","5,9","25,6"
"8,28","3,12","8,93","2,92","5,05","0,89","29,19"
"8,28","8,75","0,6","4,28","1,76","0,35","24,02"
"8,27","7,79","6,13","3,1","5,45","0,65","31,39"
"8,27","1,84","1,77","1,36","0,65","0,51","14,4"
"8,27","5,95","6,46","3,46","4,16","0,05","28,35"
"8,26","3,05","0,44","2,83","5,31","7,43","27,32"
"8,26",8,"6,19","1,02","7,14","7,96","38,57"
"8,26","3,63","7,38","2,37","4,22","8,63","34,49"
"8,26","7,94","5,07","3,62","2,94","8,29","36,12"
"8,26","1,93","7,33","8,09","0,99","7,15","33,75"
"8,26","3,02","3,3","2,8","1,56","7,8","26,74"
"8,26","3,95","1,58","0,22","2,16","1,78","17,95"
"8,25","4,2","7,55","5,21","1,4",8,"34,61"
"8,25","3,55","8,9","1,34","5,13","5,35","32,52"
"8,25","6,14","6,91","6,87","1,92","0,49","30,58"
"8,25","0,78","5,36","0,14","7,06","5,7","27,29"
"8,25","3,72","8,63","0,01","4,97","6,75","32,33"
"8,24","4,63","1,89","3,23","5,32","5,94","29,25"
"8,24","2,92","7,48","1,57","1,57","0,38","22,16"
"8,23","8,38","7,34","6,11","1,53","8,35","39,94"
"8,23","2,5","2,02","5,29","6,14","0,17","24,35"
"8,22","3,66","6,54","5,99","6,7","5,78","36,89"
"8,22","3,77","8,05","0,31","2,11","7,43","29,89"
"8,22","5,88","1,92","0,92","4,95","4,76","26,65"
"8,22","4,9","7,27","6,39","2,44","7,73","36,95"
"8,21","2,47","2,42","8,72","2,57","6,56","30,95"
"8,21","2,47","2,42","8,72","2,57","6,56","30,95"
"8,21","1,37","6,79","7,34","1,99","1,07","26,77"
"8,2","0,06","8,81","4,98","1,97","8,45","32,47"
"8,2","5,22","4,98","3,12","0,65","6,89","29,06"
"8,2","6,6","6,95","5,64","2,25","6,96","36,6"
"8,19","3,83","1,89","8,12","2,15","6,25","30,43"
"8,19","5,81","6,95","3,19","3,68","6,34","34,16"
"8,19","1,49","8,49","2,48","2,03","8,1","30,78"
"8,18","3,94","5,67","2,25","5,46","7,99","33,49"
"8,18","3,58","0,78","2,99","2,24","2,74","20,51"
"8,18","2,41","7,14","7,41","2,32","4,13","31,59"
"8,18","3,97","5,95","5,83","0,15","8,89","32,97"
"8,17",3,"2,11","3,7","1,17","6,48","24,63"
"8,17","3,91","5,58","0,08","2,6","8,33","28,67"
"8,17","4,22","0,04","7,39","0,67","7,61","28,1"
"8,17","4,11","4,2","1,13","5,67","5,46","28,74"
"8,17","4,5","1,71","0,5","8,75","3,82","27,45"
"8,17","0,2","8,81","5,3","4,73","8,47","35,68"
"8,16","5,48","5,34","3,81","5,74","8,18","36,71"
"8,16","5,43","3,84","7,16","4,59","2,71","31,89"
"8,16","8,47","7,77","6,74","2,64","3,71","37,49"
"8,15","8,73","0,78","5,27","1,13","1,46","25,52"
"8,15","4,21","4,82","6,6","5,12","6,37","35,27"
"8,14","8,17","5,41","0,27","0,75","6,89","29,63"
"8,14","0,59","4,9","7,17","8,54","8,82","38,16"
"8,13","5,47","3,47","8,83","3,12","2,05","31,07"
"8,13","3,86","2,56","0,5","4,5","7,21","26,76"
"8,13","2,17","6,22","4,09","8,43","8,4","37,44"
"8,13","7,23","2,24","8,26","2,32","0,86","29,04"
"8,13","1,49","2,37","3,33","3,53","1,68","20,53"
"8,13","2,88","2,92","1,28","0,59","4,03","19,83"
"8,13","5,15","4,01","6,42","0,88","4,26","28,85"
"8,12","0,1","2,96","8,61","3,86","3,18","26,83"
"8,12","7,34","1,92","5,6","4,83","3,61","31,42"
"8,12","3,22","6,88","7,54","6,17","2,28","34,21"
"8,12","4,23","4,65","5,14","7,63","1,62","31,39"
"8,11","2,58","1,14","5,08","0,81","3,09","20,81"
"8,11","8,16","2,44","8,88","4,98","6,33","38,9"
"8,1","8,88","1,58","8,99","0,54","0,49","28,58"
"8,1","8,06","7,91","5,61","6,9","5,5","42,08"
"8,1","5,92","5,31","7,35","5,55","5,71","37,94"
"8,1","6,17","2,33","6,73","0,64","5,95","29,92"
"8,1","3,65","7,59","5,93","7,44","1,64","34,35"
"8,1","2,58","3,5","1,06","1,53","6,81","23,58"
"8,09","3,66","2,46","6,53","3,73","8,49","32,96"
"8,09","6,74","0,68","1,76","6,41","5,91","29,59"
"8,09","6,84","6,74","1,46","4,78","3,68","31,59"
"8,09","3,93","8,38","1,56","3,02","2,59","27,57"
"8,08","1,57",5,"7,86","0,04","8,16","30,71"
"8,08","3,03","6,35","2,72","6,89","0,82","27,89"
"8,08","1,6","1,19","6,57","7,22","1,54","26,2"
"8,07","4,55","8,78","0,22","7,45","5,75","34,82"
"8,06","0,61","1,59","2,55","7,6","8,37","28,78"
"8,05","4,24","3,63","0,85","2,21","7,34","26,32"
"8,05","8,96","0,63","5,56","8,73","0,8","32,73"
"8,05","7,39","0,42","5,32",5,"0,42","26,6"
"8,04","8,41","6,53","7,91","4,85","7,49","43,23"
"8,04","0,09","1,14","1,6","3,59","7,12","21,58"
"8,04","3,16","6,89","0,19","4,48","8,01","30,77"
"8,04","0,09","1,14","1,6","3,59","7,12","21,58"
"8,04","4,65","8,49","7,11","7,58","1,71","37,58"
"8,03","1,94","7,04","4,45","5,52","5,72","32,7"
"8,03","0,68","4,54","6,75","8,49","1,05","29,54"
"8,03","5,21","5,19","0,5","3,73","8,6","31,26"
"8,03","1,72","2,81",0,"4,2","2,94","19,7"
"8,02","0,14","2,84","3,59","7,97","1,08","23,64"
"8,01","1,63","3,72","7,94","0,34","8,97","30,61"
8,"2,14","0,9","4,83","8,83","6,65","31,35"
8,"3,39","6,04","5,99","5,86","1,57","30,85"
8,"3,87","5,83","0,48","3,97","2,96","25,11"
"7,99","0,05","7,98","0,23","0,19","8,65","25,09"
"7,99","2,98","1,81","0,41","2,94","5,83","21,96"
"7,99","8,61","0,34","5,23","1,01","6,7","29,88"
"7,99","0,05","7,98","0,23","0,19","8,65","25,09"
"7,98","5,76","3,21","4,98","0,02","2,53","24,48"
"7,97","6,81","8,61","2,06","4,08","6,75","36,28"
"7,96","2,52","2,32","2,3","7,17","4,03","26,3"
"7,95","4,68","7,88","5,87","6,63","4,47","37,48"
"7,95","1,77","6,46","2,86","0,81","7,7","27,55"
"7,95","2,41","0,71","3,2","1,63","2,2","18,1"
"7,95","2,07","3,65","0,33","0,04","6,02","20,06"
"7,95","8,57","0,4","1,92","3,34","0,21","22,39"
"7,95","1,14","4,58","4,19","0,05","0,77","18,68"
"7,94","5,28","4,7","7,56","0,47","8,9","34,85"
"7,94","2,18","8,54","4,35","5,68","7,51","36,2"
"7,94","0,04","4,36","1,63","5,59","0,55","20,11"
"7,94","7,99","7,24","2,22","3,65","8,69","37,73"
"7,94","3,38","0,94","8,69","3,8","4,4","29,15"
"7,93","3,84","6,91","2,38","1,2","7,58","29,84"
"7,92","2,02","5,16","7,67","1,35","7,47","31,59"
"7,92","2,11","7,46","7,68","0,27","3,7","29,14"
"7,92","4,51","8,91","6,56","0,87","8,47","37,24"
"7,92","5,53","3,23","5,66","3,61","6,85","32,8"
"7,92","6,79","3,49","0,04","1,63","4,29","24,16"
"7,91","8,7","7,06","6,47","7,59","1,46","39,19"
"7,91","5,4","1,78","2,9","1,46","7,01","26,46"
"7,91","8,69","1,93","1,72","1,11","6,03","27,39"
"7,91","5,04","0,37","3,73","8,76","4,09","29,9"
"7,9","7,5","3,48","1,17","4,69","6,88","31,62"
"7,9","8,34","2,61","2,42","7,65","8,36","37,28"
"7,9","1,27","7,39","0,75","4,04","6,58","27,93"
"7,9","6,79","7,73","1,7","5,19","5,99","35,3"
"7,89","2,47","6,11","1,07","7,94","2,67","28,15"
"7,89","0,48","8,78","3,1","4,42","2,25","26,92"
"7,89","6,15","8,86","4,65",4,"6,54","38,09"
"7,89","2,05","7,46","1,4","0,75","8,7","28,25"
"7,89","8,7","3,74","7,07","7,1","8,39","42,89"
"7,88","6,94","7,62","2,38","5,44","8,01","38,27"
"7,88","6,68","8,55","5,55","4,18","6,76","39,6"
"7,88","6,95","6,07","4,01","0,22","8,73","33,86"
"7,87","5,82","1,7","2,07","0,06","0,73","18,25"
"7,87","8,89","7,1","3,66","2,58","7,94","38,04"
"7,86","1,48","3,78","4,02","8,57","1,95","27,66"
"7,86","2,89","5,1","5,99","7,82","7,83","37,49"
"7,85","1,96","3,13","4,76","5,99","2,12","25,81"
"7,85","0,79","5,06","0,24","2,94","1,46","18,34"
"7,85","7,54","5,38","4,62","4,99","8,75","39,13"
"7,84","8,22","8,95","4,63","0,67","4,26","34,57"
"7,84","2,65","5,94","4,53","7,51","1,3","29,77"
"7,84","4,91","0,1","8,23",7,"8,42","36,5"
"7,83","0,84","0,91","1,99","0,82","8,19","20,58"
"7,83","2,84","1,74","5,22","1,98","6,02","25,63"
"7,83","5,49","5,86","7,31","1,81","4,5","32,8"
"7,83","6,36","7,27","3,08","1,77","1,75","28,06"
"7,83","0,84","0,91","1,99","0,82","8,19","20,58"
"7,82","2,3","7,25","6,99","8,57","5,57","38,5"
"7,82","5,83","7,27","7,27","8,7","6,67","43,56"
"7,82","5,16","7,24","7,23","8,68","0,29","36,42"
"7,82","6,15","7,27","0,79","2,23","8,01","32,27"
"7,81","6,16","8,18","7,16","6,28","5,18","40,77"
"7,81","1,03","7,12","5,74","1,91","0,35","23,96"
"7,81","3,57","0,16",3,"8,31","0,46","23,31"
"7,81","0,99","1,46","7,23","0,64","5,52","23,65"
"7,81","7,92","1,7","7,69","0,55","6,51","32,18"
"7,8","1,46","7,53","2,07","4,75","7,63","31,24"
"7,8","1,18","1,75","0,93","3,5","7,56","22,72"
"7,8","6,63","7,4","2,73","6,1","7,41","38,07"
"7,8","0,56","5,72","1,41","6,36","3,03","24,88"
"7,79","8,82","0,15","8,12","2,77","1,05","28,7"
"7,79","8,82","0,15","8,12","2,77","1,05","28,7"
"7,78","6,87","2,46","8,78","0,73","7,96","34,58"
"7,77","6,94","6,34","1,15","6,94","4,82","33,96"
"7,77","3,01","1,21","7,11","8,89","0,69","28,68"
"7,77","4,32","4,93","0,31","5,01","6,92","29,26"
"7,77","0,16","7,99","5,42","1,1","1,45","23,89"
"7,77","8,36","3,98","8,52","6,1","5,94","40,67"
"7,76","8,3","6,06","6,87","1,01","2,18","32,18"
"7,76","0,15","3,3","5,38","2,39","7,94","26,92"
"7,75","0,62","1,5","0,59","5,07","6,52","22,05"
"7,75","2,1","3,95","8,48","2,75","7,49","32,52"
"7,75","0,77","2,44","8,24","2,55","6,1","27,85"
"7,74","1,13","3,59","2,36","7,11","7,98","29,91"
"7,74","4,66","5,76","2,72","3,16","3,38","27,42"
"7,74","4,47","3,57","3,26","4,26","4,46","27,76"
"7,73","3,21","2,36","5,66","0,01","8,66","27,63"
"7,73","6,85","4,09","7,66","6,03","8,81","41,17"
"7,73","5,44","8,64","7,54","2,89","4,13","36,37"
"7,72","6,59","5,45","6,19","2,22","5,11","33,28"
"7,72","5,49","7,4","0,7","7,88","8,34","37,53"
"7,72","8,48","1,23","4,06","6,07","6,38","33,94"
"7,72","3,3","1,47","8,07","6,37","2,36","29,29"
"7,72","2,43","1,23","5,34","8,73","7,7","33,15"
"7,71","1,91","6,69","1,22","4,94","8,32","30,79"
"7,71","3,95","0,52","8,03","8,01","4,2","32,42"
"7,71","0,78","1,25","2,45","3,64","6,85","22,68"
"7,71","5,43","3,83","5,23","0,62","6,55","29,37"
"7,71","4,74","1,72","0,17","0,79","0,82","15,95"
"7,71","1,68","8,09","5,94","7,22","5,99","36,63"
"7,71","7,02","5,01","7,48","1,85","6,71","35,78"
"7,7","0,29","6,25","5,44","2,35","0,28","22,31"
"7,7","2,52","1,84","8,74","1,04","2,83","24,67"
"7,7","3,48","1,74","3,71","3,82","8,59","29,04"
"7,7","1,56","8,15","1,72","7,75","1,39","28,27"
"7,7","0,91","1,01",1,"5,71","3,25","19,58"
"7,7","3,8","2,1","0,76","8,43","7,77","30,56"
"7,7","5,29","5,37","1,23","2,32","0,01","21,92"
"7,69","7,1","5,46","6,88","4,38","7,01","38,52"
"7,69","1,11","2,94","7,47","4,34","3,61","27,16"
"7,69","6,46","3,93","3,37","0,97","8,78","31,2"
"7,69","8,87","5,61","6,5","3,54","5,15","37,36"
"7,69","8,6","2,69","0,25","3,42","8,55","31,2"
"7,68","4,96","5,02","2,12","2,47","7,84","30,09"
"7,68","0,87","1,64","3,06","0,31","1,33","14,89"
"7,68","4,96","5,02","2,12","2,47","7,84","30,09"
"7,68","6,99","4,55","0,78","8,42","2,01","30,43"
"7,68","2,43","5,52","0,11","2,05","6,06","23,85"
"7,67","2,33","3,91","3,27","4,08","4,54","25,8"
"7,67","1,46","8,15","8,24","5,41","5,91","36,84"
"7,67",7,"0,46","5,31","4,88","6,46","31,78"
"7,66","2,35","2,69","5,47","5,26","3,24","26,67"
"7,66","8,16","3,86","1,16","7,79","5,52","34,15"
"7,66","7,34","8,55","1,68","1,04","2,63","28,9"
"7,66","8,53","0,89","5,35","4,07","3,69","30,19"
"7,65","0,87","7,01","8,91","0,17","7,41","32,02"
"7,65","4,34","8,86","0,96","4,66","8,13","34,6"
"7,65","0,87","7,01","8,91","0,17","7,41","32,02"
"7,64","0,45","0,4","0,29","5,61","3,65","18,04"
"7,64","1,16","7,28","8,08","3,21","6,55","33,92"
"7,64","8,86","4,01","8,63","5,18","0,57","34,89"
"7,64","6,45","6,62","6,28","0,24","6,64","33,87"
"7,64","6,94","4,95","5,62","4,66","2,79","32,6"
"7,64","2,9","0,25","8,63","0,67","4,97","25,06"
"7,63","0,94","6,94","6,31","5,93","0,26","28,01"
"7,63","4,7","3,95","2,78","5,56","0,74","25,36"
"7,63","7,04","3,59","2,27","6,04","8,7","35,27"
"7,63","0,55","1,74","8,24","1,89","3,44","23,49"
"7,63","5,38","7,04","4,93","2,77","1,63","29,38"
